date,product_id,product_name,category,quantity,unit_price,total_revenue
2025-01-01,P001,Wireless Headphones,Electronics,12,2499.00,29988.00
2025-01-01,P002,Running Shoes,Footwear,8,3499.00,27992.00
2025-01-01,P003,Cotton T-Shirt,Apparel,25,599.00,14975.00
2025-01-01,P004,Yoga Mat,Sports,15,1299.00,19485.00
2025-01-01,P005,Water Bottle,Sports,30,399.00,11970.00
2025-01-02,P001,Wireless Headphones,Electronics,9,2499.00,22491.00
2025-01-02,P002,Running Shoes,Footwear,11,3499.00,38489.00
2025-01-02,P003,Cotton T-Shirt,Apparel,18,599.00,10782.00
2025-01-02,P006,Desk Lamp,Home,20,1499.00,29980.00
2025-01-02,P007,Backpack,Accessories,14,1999.00,27986.00
2025-01-03,P001,Wireless Headphones,Electronics,7,2499.00,17493.00
2025-01-03,P004,Yoga Mat,Sports,19,1299.00,24681.00
2025-01-03,P005,Water Bottle,Sports,40,399.00,15960.00
2025-01-03,P008,Smart Watch,Electronics,5,8999.00,44995.00
2025-01-03,P003,Cotton T-Shirt,Apparel,22,599.00,13178.00
2025-01-04,P002,Running Shoes,Footwear,6,3499.00,20994.00
2025-01-04,P006,Desk Lamp,Home,8,1499.00,11992.00
2025-01-04,P009,Face Cream,Beauty,35,799.00,27965.00
2025-01-04,P001,Wireless Headphones,Electronics,10,2499.00,24990.00
2025-01-04,P007,Backpack,Accessories,9,1999.00,17991.00
2025-01-05,P004,Yoga Mat,Sports,7,1299.00,9093.00
2025-01-05,P005,Water Bottle,Sports,50,399.00,19950.00
2025-01-05,P010,Sunglasses,Accessories,12,2299.00,27588.00
2025-01-05,P003,Cotton T-Shirt,Apparel,30,599.00,17970.00
2025-01-05,P008,Smart Watch,Electronics,3,8999.00,26997.00
2025-01-06,P001,Wireless Headphones,Electronics,14,2499.00,34986.00
2025-01-06,P002,Running Shoes,Footwear,10,3499.00,34990.00
2025-01-06,P006,Desk Lamp,Home,16,1499.00,23984.00
2025-01-06,P009,Face Cream,Beauty,28,799.00,22372.00
2025-01-06,P004,Yoga Mat,Sports,11,1299.00,14289.00
2025-01-07,P003,Cotton T-Shirt,Apparel,20,599.00,11980.00
2025-01-07,P007,Backpack,Accessories,7,1999.00,13993.00
2025-01-07,P010,Sunglasses,Accessories,9,2299.00,20691.00
2025-01-07,P005,Water Bottle,Sports,45,399.00,17955.00
2025-01-07,P008,Smart Watch,Electronics,4,8999.00,35996.00
2025-01-08,P001,Wireless Headphones,Electronics,11,2499.00,27489.00
2025-01-08,P002,Running Shoes,Footwear,13,3499.00,45487.00
2025-01-08,P004,Yoga Mat,Sports,8,1299.00,10392.00
2025-01-08,P009,Face Cream,Beauty,32,799.00,25568.00
2025-01-08,P006,Desk Lamp,Home,12,1499.00,17988.00
2025-01-09,P003,Cotton T-Shirt,Apparel,27,599.00,16173.00
2025-01-09,P010,Sunglasses,Accessories,15,2299.00,34485.00
2025-01-09,P007,Backpack,Accessories,11,1999.00,21989.00
2025-01-09,P001,Wireless Headphones,Electronics,6,2499.00,14994.00
2025-01-09,P008,Smart Watch,Electronics,2,8999.00,17998.00
2025-01-10,P002,Running Shoes,Footwear,9,3499.00,31491.00
2025-01-10,P005,Water Bottle,Sports,55,399.00,21945.00
2025-01-10,P004,Yoga Mat,Sports,13,1299.00,16887.00
2025-01-10,P009,Face Cream,Beauty,20,799.00,15980.00
2025-01-10,P006,Desk Lamp,Home,18,1499.00,26982.00
2025-01-11,P001,Wireless Headphones,Electronics,15,2499.00,37485.00
2025-01-11,P003,Cotton T-Shirt,Apparel,35,599.00,20965.00
2025-01-11,P007,Backpack,Accessories,12,1999.00,23988.00
2025-01-11,P010,Sunglasses,Accessories,8,2299.00,18392.00
2025-01-11,P008,Smart Watch,Electronics,6,8999.00,53994.00
2025-01-12,P002,Running Shoes,Footwear,14,3499.00,48986.00
2025-01-12,P004,Yoga Mat,Sports,20,1299.00,25980.00
2025-01-12,P005,Water Bottle,Sports,38,399.00,15162.00
2025-01-12,P009,Face Cream,Beauty,25,799.00,19975.00
2025-01-12,P001,Wireless Headphones,Electronics,8,2499.00,19992.00
2025-01-13,P006,Desk Lamp,Home,14,1499.00,20986.00
2025-01-13,P003,Cotton T-Shirt,Apparel,28,599.00,16772.00
2025-01-13,P010,Sunglasses,Accessories,11,2299.00,25289.00
2025-01-13,P007,Backpack,Accessories,16,1999.00,31984.00
2025-01-13,P002,Running Shoes,Footwear,7,3499.00,24493.00
2025-01-14,P008,Smart Watch,Electronics,5,8999.00,44995.00
2025-01-14,P001,Wireless Headphones,Electronics,13,2499.00,32487.00
2025-01-14,P004,Yoga Mat,Sports,9,1299.00,11691.00
2025-01-14,P005,Water Bottle,Sports,42,399.00,16758.00
2025-01-14,P009,Face Cream,Beauty,30,799.00,23970.00
2025-01-15,P003,Cotton T-Shirt,Apparel,22,599.00,13178.00
2025-01-15,P002,Running Shoes,Footwear,16,3499.00,55984.00
2025-01-15,P006,Desk Lamp,Home,10,1499.00,14990.00
2025-01-15,P007,Backpack,Accessories,13,1999.00,25987.00
2025-01-15,P010,Sunglasses,Accessories,7,2299.00,16093.00
2025-01-16,P001,Wireless Headphones,Electronics,10,2499.00,24990.00
2025-01-16,P008,Smart Watch,Electronics,4,8999.00,35996.00
2025-01-16,P004,Yoga Mat,Sports,17,1299.00,22083.00
2025-01-16,P005,Water Bottle,Sports,48,399.00,19152.00
2025-01-16,P009,Face Cream,Beauty,22,799.00,17578.00
2025-01-17,P003,Cotton T-Shirt,Apparel,31,599.00,18569.00
2025-01-17,P002,Running Shoes,Footwear,12,3499.00,41988.00
2025-01-17,P006,Desk Lamp,Home,15,1499.00,22485.00
2025-01-17,P010,Sunglasses,Accessories,10,2299.00,22990.00
2025-01-17,P007,Backpack,Accessories,8,1999.00,15992.00
2025-01-18,P001,Wireless Headphones,Electronics,16,2499.00,39984.00
2025-01-18,P008,Smart Watch,Electronics,7,8999.00,62993.00
2025-01-18,P004,Yoga Mat,Sports,12,1299.00,15588.00
2025-01-18,P005,Water Bottle,Sports,35,399.00,13965.00
2025-01-18,P009,Face Cream,Beauty,27,799.00,21573.00
2025-01-19,P002,Running Shoes,Footwear,5,3499.00,17495.00
2025-01-19,P003,Cotton T-Shirt,Apparel,24,599.00,14376.00
2025-01-19,P006,Desk Lamp,Home,9,1499.00,13491.00
2025-01-19,P007,Backpack,Accessories,14,1999.00,27986.00
2025-01-19,P010,Sunglasses,Accessories,13,2299.00,29887.00
2025-01-20,P001,Wireless Headphones,Electronics,9,2499.00,22491.00
2025-01-20,P008,Smart Watch,Electronics,3,8999.00,26997.00
2025-01-20,P004,Yoga Mat,Sports,21,1299.00,27279.00
2025-01-20,P005,Water Bottle,Sports,60,399.00,23940.00
2025-01-20,P009,Face Cream,Beauty,18,799.00,14382.00
2025-01-21,P003,Cotton T-Shirt,Apparel,26,599.00,15574.00
2025-01-21,P002,Running Shoes,Footwear,11,3499.00,38489.00
2025-01-21,P006,Desk Lamp,Home,22,1499.00,32978.00
2025-01-21,P007,Backpack,Accessories,10,1999.00,19990.00
2025-01-21,P010,Sunglasses,Accessories,6,2299.00,13794.00
2025-01-22,P001,Wireless Headphones,Electronics,12,2499.00,29988.00
2025-01-22,P008,Smart Watch,Electronics,8,8999.00,71992.00
2025-01-22,P004,Yoga Mat,Sports,14,1299.00,18186.00
2025-01-22,P005,Water Bottle,Sports,44,399.00,17556.00
2025-01-22,P009,Face Cream,Beauty,33,799.00,26367.00
2025-01-23,P002,Running Shoes,Footwear,8,3499.00,27992.00
